IPO_Name,Date,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,Positive_Listing,Strong_Listing,Current_Gain_Pct,Cluster,Cluster_Name
Paramount Printpac Ltd,2011-05-09,45.83,0.33,3.28,9.31,3.92,35,0.0,0,0,-97.66,0,"Retail-Driven
Weak Demand"
Future Consumer Ltd,2011-05-10,750.0,0.26,7.81,0.61,1.52,10,-5.0,0,0,-95.5,0,"Retail-Driven
Weak Demand"
Servalakshmi Paper Ltd,2011-05-12,60.0,0.34,4.21,1.9,1.47,29,3.45,1,0,-95.41,0,"Retail-Driven
Weak Demand"
Innoventive Industries Ltd,2011-05-13,217.41,0.85,1.94,1.48,1.24,117,-5.98,0,0,-96.41,0,"Retail-Driven
Weak Demand"
BF Industrial & Technologies Ltd,2011-05-23,36.9,0.0,1.82,2.93,1.3,85,0.0,0,0,-80.59,0,"Retail-Driven
Weak Demand"
Dr. Datsons Labs Ltd,2011-05-27,117.0,0.14,2.65,1.84,1.11,234,-1.94,0,0,-97.31,0,"Retail-Driven
Weak Demand"
Power Finance Corporation Ltd,2011-05-27,4578.2,6.92,1.2,2.0,4.34,203,-2.66,0,0,106.53,1,"Institutional
Heavyweights"
VMS Industries Ltd,2011-06-14,25.75,0.0,1.11,3.41,1.36,40,9.88,1,0,-12.5,0,"Retail-Driven
Weak Demand"
Timbor Home Ltd,2011-06-22,23.25,0.65,3.22,14.22,5.78,63,14.29,1,0,-96.49,0,"Retail-Driven
Weak Demand"
Birla Pacific Medspa Ltd,2011-07-07,65.18,1.04,0.17,1.82,1.18,10,1.0,1,0,-97.2,0,"Retail-Driven
Weak Demand"
Rushil Decor Ltd,2011-07-07,40.64,0.23,1.35,6.57,2.62,72,12.85,1,0,-68.26,0,"Retail-Driven
Weak Demand"
Kridhan Infra Ltd,2011-07-13,34.75,0.03,1.37,4.18,1.68,108,6.48,1,0,-96.3,0,"Retail-Driven
Weak Demand"
Bharatiya Global Infomedia Ltd,2011-07-28,55.1,0.0,1.94,5.06,2.06,82,2.44,1,0,-96.17,0,"Retail-Driven
Weak Demand"
Inventure Growth & Securities Ltd,2011-08-04,81.9,0.25,9.49,8.66,4.58,117,1.71,1,0,-98.7,0,"Retail-Driven
Weak Demand"
L&T Finance Holdings Ltd,2011-08-12,1245.0,1.93,6.18,9.61,5.34,52,-1.92,0,0,280.0,0,"Retail-Driven
Weak Demand"
Tree House Education & Accessories Ltd,2011-08-26,112.06,1.02,1.68,2.76,1.85,135,-1.63,0,0,-95.04,0,"Retail-Driven
Weak Demand"
Brooks Laboratories Ltd,2011-09-05,63.0,0.0,2.82,3.36,1.6,100,10.0,1,0,53.35,0,"Retail-Driven
Weak Demand"
TD Power Systems Ltd,2011-09-08,227.0,6.52,0.38,0.38,2.92,256,-1.72,0,0,93.5,1,"Institutional
Heavyweights"
SRS Ltd,2011-09-16,203.0,0.75,5.11,0.32,1.25,58,-5.17,0,0,-99.67,0,"Retail-Driven
Weak Demand"
PG Electroplast Ltd,2011-09-26,120.65,0.98,1.84,1.64,1.34,210,-4.76,0,0,147.05,0,"Retail-Driven
Weak Demand"
Setubandhan Infrastructure Ltd,2011-10-04,60.0,0.31,2.76,4.68,2.21,138,5.07,1,0,-99.49,0,"Retail-Driven
Weak Demand"
