IPO_Name,Issue_Size,QIB,HNI,RII,Total,Issue_Price,Listing_Gain_Pct,IPO_Quality_Score,Score_Category,Positive_Listing,Strong_Listing
Vishnu Prakash R P Limited,308.61,171.69,111.03,32.02,87.82,99,64.95,0.32473722125000837,Strong,1,1
Syrma SGS Technologies,840.13,87.56,7.13,2.84,15.59,220,19.09,0.32470732297627375,Strong,1,1
Shah Metacorp Ltd,54.67,1.54,33.44,8.0,8.59,71,7.89,0.32453850446627786,Strong,1,0
Sanstar Limited,510.55,145.68,136.5,24.23,82.99,95,12.0,0.32450860537363313,Strong,1,0
Affle (India) Ltd,459.0,55.31,198.69,10.96,86.49,745,24.82,0.32347360699593497,Strong,1,1
Ujjivan Financial Services Ltd,882.5,33.84,135.45,4.02,40.68,210,8.1,0.322358364882613,Strong,1,0
BSE Ltd (Bombay Stock Exchange),1243.43,48.64,159.03,6.48,51.22,806,34.62,0.32179849117392434,Strong,1,1
Syngene International Ltd,550.0,51.47,90.24,4.78,32.05,250,18.0,0.3217067715197186,Strong,1,1
Netweb Technologies India Limited,631.0,228.91,81.81,19.15,90.36,500,88.5,0.3215852078810794,Strong,1,1
Persistent Systems Limited,168.01,144.43,107.73,21.69,93.6,310,29.03,0.3205546880693295,Strong,1,1
Exicom Tele-Systems Ltd ,429.0,121.8,153.22,119.59,129.54,142,85.92,0.3203584289550524,Strong,1,1
Team Lease Services Ltd,423.68,26.97,185.24,10.62,66.02,850,1.18,0.31895491014821237,Strong,1,0
Midfield Industries Limited,59.85,1.86,48.41,13.51,12.92,133,19.85,0.3186175537488771,Strong,1,1
Devyani International Limited,1838.0,95.27,213.06,39.52,116.71,90,56.67,0.3177723509654291,Strong,1,1
Alkem Laboratories Ltd,1347.76,57.19,129.96,3.17,44.29,1050,31.43,0.31745342840876944,Strong,1,1
Campus Activewear (India) Limited,1399.6,152.04,10.68,4.73,28.55,292,21.58,0.3171856846132255,Strong,1,1
Neogen Chemicals Ltd,132.35,30.49,113.88,16.06,41.18,215,16.74,0.3165810366304277,Strong,1,1
AU Small Finance Bank Ltd,1912.51,78.77,143.51,3.52,53.6,358,46.65,0.31633103472693963,Strong,1,1
Dilip Buildcon Ltd,653.98,9.76,79.64,2.35,20.95,219,9.59,0.31535750325646006,Strong,1,0
Man Infraconstruction Limited,141.75,96.06,104.57,10.26,62.53,252,32.94,0.3153181296720613,Strong,1,1
Endurance Technologies Ltd,1161.73,53.43,127.07,2.69,43.84,472,20.76,0.3148557424344044,Strong,1,1
Harsha Engineers,755.0,178.26,40.36,12.44,47.19,330,34.55,0.31383207106564215,Strong,1,1
Multi Commodity Exchange of India Ltd,663.31,49.12,150.35,24.14,54.13,1032,34.4,0.3137388477247698,Strong,1,1
ESAF Small Finance Bank Limited,463.0,173.52,84.37,16.97,73.15,60,19.83,0.3137141391574268,Strong,1,1
